# 上海迪士尼主流骑乘 / 演出 / 区域 — 每行一条「高德关键字检索」用语。
# 不需要你手动填经纬度：配好 AMAP_WEB_KEY 后执行：
#   cd backend && npm run sync-amap-popular
# 或在项目根：npm run sync-amap-popular
# 脚本对每行取检索结果第一条写入 SQLite attractions（id 形如 ap_xxx）。

上海迪士尼度假区 奇幻童话城堡
上海迪士尼乐园 创极速光轮
上海迪士尼乐园 翱翔·飞越地平线
上海迪士尼乐园 加勒比海盗沉落宝藏之战
上海迪士尼乐园 雷鸣山漂流
上海迪士尼乐园 七个小矮人矿山车
上海迪士尼乐园 小熊维尼历险记
上海迪士尼乐园 巴斯光年星际营救
上海迪士尼乐园 小飞侠天空奇遇
上海迪士尼乐园 晶彩奇航
上海迪士尼乐园 幻想曲旋转木马
上海迪士尼乐园 旋转疯蜜罐
上海迪士尼乐园 胡迪牛仔嘉年华
上海迪士尼乐园 弹簧狗团团转
上海迪士尼乐园 抱抱龙冲天赛车
上海迪士尼乐园 古迹探索营
上海迪士尼乐园 探险家独木舟
上海迪士尼乐园 喷气背包飞行器
上海迪士尼乐园 小飞象
上海迪士尼乐园 爱丽丝梦游仙境迷宫
上海迪士尼乐园 疯狂动物城热力追踪
上海迪士尼乐园 绳索挑战道
上海迪士尼乐园 漫威英雄总部
上海迪士尼乐园 太空幸会史迪奇
上海迪士尼乐园 冰雪奇缘欢唱盛会
上海迪士尼乐园 风暴来临杰克船长之惊天特技大冒险
上海迪士尼乐园 金色童话盛典
上海迪士尼乐园 奇梦之光幻影秀
上海迪士尼乐园 米奇童话专列
上海迪士尼乐园 米奇大街
上海迪士尼乐园 迪士尼小镇
